Name,tc,pc,w,L,M,N,c
2-ETHYL-1-PENTENE,543.00,29.50,0.3073,0.3403,0.8811,2.1159,-0.3371
2-ETHYL-2-HEXENAL,636.00,26.40,0.4535,0.2223,0.8284,2.9360,40.7362
2-ETHYLBENZOTHIOPHENE,774.00,35.26,0.4283,0.9382,0.8515,0.9255,N.A.
2-ETHYLHEXYL ACETATE,642.40,21.70,0.5992,1.7659,0.9659,1.3206,-18.1232
2-ETHYLHEXYL ACRYLATE,655.00,20.70,0.6730,0.9049,0.9442,1.4927,N.A.
2-ETHYL-m-XYLENE,671.00,30.20,0.4066,0.2478,0.8409,2.7015,2.9835
2-ETHYL-p-XYLENE,663.00,28.80,0.4114,1.1080,0.9904,0.8568,8.5367
2-ETHYL-TETRAHYDROTHIOPHENE,657.80,38.10,0.2515,0.1241,0.7596,2.0564,2.4294
2-HEPTANOL,608.30,30.00,0.5677,0.0000,0.5629,2.2414,N.A.
2-HEPTANONE,611.40,29.40,0.4190,0.2258,0.8337,2.8326,8.0511
2-HEXANOL,585.30,33.11,0.5530,0.0611,0.0000,0.9631,2.8949
2-HEXANONE,587.61,32.87,0.3846,0.3499,0.8216,1.9995,7.7757
2-HEXOXYETHANOL,633.00,26.20,0.9004,1.3700,0.8945,1.9608,-20.2045
2-HEXYNE,549.00,35.30,0.2214,0.0832,0.8045,2.5031,5.8420
2-METHYL BENZOTHIOPHENE,768.70,35.00,0.3302,1.5953,1.0000,0.4700,N.A.
"2-METHYL-1,3-PENTANEDIOL",639.00,37.45,1.2455,1.4356,0.9165,1.7363,N.A.
2-METHYL-1-BUTANOL,575.40,39.40,0.5877,0.1768,0.7518,2.9710,-0.4518
2-METHYL-1-BUTENE,465.00,34.47,0.2341,1.1423,1.0000,0.6071,3.7330
2-METHYL-1-HEPTENE,567.00,26.00,0.3551,0.6212,0.8540,1.3002,5.8975
2-METHYL-1-HEXANOL,595.00,30.30,0.7733,0.4672,0.7993,2.5346,-4.9997
2-METHYL-1-HEXENE,538.00,28.70,0.3094,0.5646,0.8261,1.2579,3.3332
2-METHYL-1-NONENE,616.00,21.90,0.4527,0.5514,0.8545,2.4053,0.3452
2-METHYL-1-OCTENE,593.00,23.80,0.4051,0.4489,0.8422,1.9743,8.7584
2-METHYL-1-PENTANOL,604.40,34.50,0.5100,0.0477,0.7757,3.7350,3.5682
2-METHYL-1-PENTENE,505.00,31.90,0.2611,0.1377,0.8394,2.7284,1.3516
2-METHYL-1-PROPANOL,547.80,42.95,0.5857,1.7426,1.0000,0.6415,3.4640
2-METHYL-2-AMINOBUTANE,526.00,36.60,0.3202,0.1546,0.8333,2.8403,-12.4683
2-METHYL-2-BUTANOL,543.70,37.10,0.4820,0.0751,0.0001,0.9000,0.5728
2-METHYL-2-BUTENE,470.00,34.20,0.2870,0.2413,0.8608,2.3846,6.9435
2-METHYL-2-PENTENAL,605.00,32.60,0.3494,0.2110,0.8129,2.4292,24.4601
2-METHYL-2-PENTENE,514.00,31.60,0.2445,1.3061,0.7819,0.5446,5.8538
2-METHYL-2-PROPANOL,506.20,39.72,0.6152,1.5661,0.5684,0.8197,1.1729
2-METHYL-3-ETHYLPENTANE,567.10,27.00,0.3297,0.1889,0.8397,2.7219,1.3667
2-METHYLBENZOFURAN,697.00,36.40,0.3752,0.2934,0.8566,2.4468,N.A.
2-METHYLBUTYRALDEHYDE,543.20,38.29,0.3779,0.2084,0.8366,2.7787,-0.8946
2-METHYLHEPTANE,559.70,25.00,0.3795,0.4031,0.8179,1.7905,4.0457
2-METHYLHEXANE,530.40,27.40,0.3280,0.3796,0.8103,1.6830,0.7277
2-METHYLNAPHTHALENE,761.00,35.00,0.3781,0.3352,0.8447,2.1346,8.7655
2-METHYLNONANE,610.00,21.20,0.4723,0.3665,0.8133,2.1727,8.2476
2-METHYLOCTANE,582.87,23.10,0.4602,1.4070,1.0000,0.7070,2.1125
2-METHYLPENTANE,497.70,30.40,0.2791,0.3018,0.8223,1.8238,-3.1222
